dniDocente,apellidoDoc,celularDoc,direccionDomicilio,estadoDoc,fechaNacimiento,fechaRegistro,fotoDocente,generoDoc,nombreDoc,usuarioRegistro,idCarrera,idUbigeo
13046879,Campos,912389012,Calle Ancash 234,1,1982-08-05,2025-05-31,,Masculino,Antonio,admin,6,1313
20346897,Sandoval,923490123,Av. Nicolás de Piérola 567,1,1995-03-18,2025-05-31,,Femenino,Natalia,admin,7,1321
12305495,Zúñiga,934501234,Jr. Loreto 890,1,1980-12-22,2025-05-31,,Masculino,Francisco,admin,8,1321
15607980,Delgado,945612345,Av. Canadá 123,1,1986-05-07,2025-05-31,,Femenino,Adriana,admin,9,1321
15957564,Peña,956723456,Calle Apurímac 456,1,1992-10-10,2025-05-31,,Masculino,Samuel,admin,10,1321
77990808,Castillo,967834567,Av. República de Panamá 789,1,1983-02-15,2025-05-31,,Femenino,Jimena,admin,11,1321
77546805,Cabrera,978945678,Jr. Pasco 012,1,1978-07-28,2025-05-31,,Masculino,Rodrigo,admin,12,1321
32468089,Fernández,989056789,Av. Pardo 345,1,1989-01-05,2025-05-31,,Femenino,Silvana,admin,13,1300
46548970,Espinoza,912367890,Calle Tumbes 678,1,1984-06-20,2025-05-31,,Masculino,Héctor,admin,14,1300
77009898,Muñoz,923478901,Av. Aviación 901,1,1991-09-12,2025-05-31,,Femenino,Daniela,admin,15,1300
98798054,Acosta,934589012,Jr. Ucayali 234,1,1977-04-25,2025-05-31,,Masculino,Marco,admin,16,1300
46548600,Figueroa,945690123,Av. Angamos 567,1,1985-11-08,2025-05-31,,Femenino,Paola,admin,17,1300
11004650,Carrasco,956701234,Calle Madre de Dios 890,1,1990-03-15,2025-05-31,,Masculino,Andrés,admin,18,1300
21305105,Pacheco,967812345,Av. Benavides 123,1,1981-08-30,2025-05-31,,Femenino,Lorena,admin,20,1300
46570809,Luna,978923456,Jr. Huallaga 456,1,1987-12-05,2025-05-31,,Masculino,Guillermo,admin,20,1300
33225566,Mejía,989034567,Av. Primavera 789,1,1994-05-18,2025-05-31,,Femenino,Marcela,admin,21,1323
77889900,Bustamante,912345678,Calle Moquegua 012,1,1982-10-22,2025-05-31,,Masculino,Alonso,admin,22,1323
23140600,Valenzuela,923456789,Av. Larco 345,1,1988-02-07,2025-05-31,,Femenino,Marisol,admin,23,1323
44564809,Cáceres,934567890,Jr. Ilo 678,1,1979-07-12,2025-05-31,,Masculino,Ernesto,admin,1,1323
11105460,Palacios,945678901,Av. San Felipe 901,1,1993-04-25,2025-05-31,,Femenino,Gisela,admin,2,1323
31050640,Barrios,956789012,Calle Huaraz 234,1,1986-09-08,2025-05-31,,Masculino,Raul,admin,3,1323
